name,lat,lng,rating,types
Cray,48.8196449,2.288115,,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Amago Sushi,48.8145818,2.2967925,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Restaurant Le Metro,48.8142283,2.295553099999999,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']"
La Pizza,48.814154,2.2957893,4.1,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Olivier Chef Particulier,48.8172141,2.2978488,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Franprix,48.8183052,2.2965565,3.5,"['supermarket', 'liquor_store', 'convenience_store', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Tabac de la gare,48.818589,2.2912928,4.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Lys,48.81913350000001,2.2983125,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Le Canastel,48.8163227,2.292821599999999,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Hit thai,48.8163426,2.2927658,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Madame Kerboub Jalila,48.8163712,2.2927719,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
LE BISTROT,48.81409739999999,2.295371,4.4,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']"
A Bon Port,48.814559,2.2962806,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Le Croustillant,48.8150192,2.2978199,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Le Rendez-Vous Café,48.8135685,2.2964358,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Hm Dellys,48.8161171,2.2901835,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Bar Restaurant l’Auberge,48.8161171,2.2901835,4.2,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Sadi's Sushi,48.8133379,2.296669,4.7,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Sadi’s Sushis,48.813354,2.2967127,4.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Jackore,48.8180377,2.2919888,,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Sarl Raval 3000,48.81749540000001,2.297580200000001,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
Intermarché EXPRESS Montrouge,48.81405900000001,2.303095,3.5,"['supermarket', 'liquor_store', 'bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
