name,lat,lng,rating,types
S.E.E.M Société d'Exploitation Ets Mathan,48.8175016,2.2517671,5.0,"['store', 'point_of_interest', 'establishment']"
Meudon Running Company,48.8169274,2.2484028,4.9,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
CUBE Bike Paris,48.8170381,2.2479951,4.6,"['bicycle_store', 'store', 'point_of_interest', 'establishment']"
Parexlanko,48.8176014,2.2485941,4.2,"['store', 'point_of_interest', 'establishment']"
ebeneo,48.815642,2.2529952,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
Peugeot Paris Issy-les-Moulineaux - BPM Cars,48.81792,2.251099,4.2,"['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']"
Carrefour City,48.81820070000001,2.2462294,3.1,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']"
Avec Informatique 92,48.8183789,2.2526591,4.8,"['electronics_store', 'store', 'point_of_interest', 'establishment']"
La Boutique du Val - Meudon,48.8116898,2.2473544,5.0,"['store', 'point_of_interest', 'establishment']"
Espace Tabac,48.81962470000001,2.2500041,4.1,"['store', 'point_of_interest', 'establishment']"
GUINOT ISSY LES MOULINEAUX,48.8196759,2.2496116,4.7,"['beauty_salon', 'hair_care', 'spa', 'store', 'point_of_interest', 'establishment']"
Atelier Cadres enVie,48.8175962,2.251782,5.0,"['store', 'point_of_interest', 'establishment']"
Clinique vétérinaire du Dr Chastang Jean-Marc,48.819979,2.249953999999999,4.5,"['veterinary_care', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Funeral ROC-ECLERC,48.818044,2.250434,4.9,"['funeral_home', 'cemetery', 'florist', 'general_contractor', 'store', 'point_of_interest', 'establishment']"
DR Cuisines,48.8183331,2.2496404,4.6,"['furniture_store', 'home_goods_store', 'general_contractor', 'store', 'point_of_interest', 'establishment']"
Burh Ferrier gosse,48.81537219999999,2.2497393,,"['hardware_store', 'store', 'point_of_interest', 'establishment']"
Dunbia Paris.,48.81509899999999,2.247151699999999,,"['store', 'point_of_interest', 'food', 'establishment']"
B.inK Tattoo - Studio de Tatouages et piercings - Haut de Seine 92,48.81642480000001,2.2471058,4.8,"['store', 'point_of_interest', 'establishment']"
La Refile - friperie et ateliers de couture,48.81705909999999,2.2479698,4.2,"['store', 'point_of_interest', 'establishment']"
Ace,48.8167136,2.2554568,5.0,"['point_of_interest', 'store', 'establishment']"
S.E.E.M Société d'Exploitation Ets Mathan,48.8175016,2.2517671,5.0,"['point_of_interest', 'store', 'establishment']"
ebeneo,48.815642,2.2529952,5.0,"['furniture_store', 'point_of_interest', 'home_goods_store', 'store', 'establishment']"
SIGNARAMA ISSY-LES-MOULINEAUX,48.81881720000001,2.2539586,5.0,"['point_of_interest', 'store', 'establishment']"
Avec Informatique 92,48.8183789,2.2526591,4.8,"['electronics_store', 'point_of_interest', 'store', 'establishment']"
Peugeot Paris Issy-les-Moulineaux - BPM Cars,48.81792,2.251099,4.2,"['car_dealer', 'point_of_interest', 'car_repair', 'store', 'establishment']"
Diasporamag Arménie Magazine,48.81695149999999,2.2596056,5.0,"['book_store', 'point_of_interest', 'store', 'establishment']"
Meudon Running Company,48.8169274,2.2484028,4.9,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
Atelier Cadres enVie,48.8175962,2.251782,5.0,"['point_of_interest', 'store', 'establishment']"
Parexlanko,48.8176014,2.2485941,4.2,"['point_of_interest', 'store', 'establishment']"
CUBE Bike Paris,48.8170381,2.2479951,4.6,"['bicycle_store', 'point_of_interest', 'store', 'establishment']"
Boutique Yves Legrand,48.81898770000001,2.2545388,4.4,"['liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Nguyen Tran Pharmacy,48.814408,2.257843,4.6,"['pharmacy', 'point_of_interest', 'health', 'store', 'establishment']"
Funeral ROC-ECLERC,48.818044,2.250434,4.9,"['funeral_home', 'florist', 'cemetery', 'point_of_interest', 'general_contractor', 'store', 'establishment']"
"Markar - Cuisine levantine, épicerie fine, vins d'Arménie",48.8156946,2.2563866,4.8,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Robert Keillor Atelier du Verre,48.81706699999999,2.254902,,"['point_of_interest', 'store', 'establishment']"
Rénovation SAS PATRICKS ets Père & Fils,48.8172609,2.2562436,4.6,"['electrician', 'painter', 'plumber', 'spa', 'furniture_store', 'point_of_interest', 'general_contractor', 'home_goods_store', 'store', 'establishment']"
La Cave Éclairée,48.81756549999999,2.251911999999999,4.9,"['liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Samedi Vin,48.81756549999999,2.251911999999999,5.0,"['liquor_store', 'point_of_interest', 'store', 'establishment']"
Cave de Famille,48.8173617,2.2514687,5.0,"['liquor_store', 'food', 'point_of_interest', 'store', 'establishment']"
Ace,48.8167136,2.2554568,5.0,"['store', 'point_of_interest', 'establishment']"
Diasporamag Arménie Magazine,48.81695149999999,2.2596056,5.0,"['book_store', 'store', 'point_of_interest', 'establishment']"
Franprix,48.8178207,2.2601714,3.4,"['supermarket', 'convenience_store', 'liquor_store', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
Aux Jardins D'Azad,48.8182002,2.2628718,4.8,"['florist', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
